N,D,m,a,e
39,4,1,25,3
30,20,6,8,5
23,21,6,9,7
17,44,5,1,1
11,50,3,1,3
39,49,2,7,21
14,38,8,0,3
5,5,0,4,1
18,21,7,4,7
1,22,1,0,0
13,8,2,5,4
46,46,10,7,10
30,27,9,10,11
40,43,2,0,32
34,29,4,20,5
40,33,12,27,1
12,41,0,0,4
42,24,1,1,35
19,28,12,1,4
17,24,9,4,4
3,32,0,1,0
28,41,14,5,0
2,5,1,0,1
16,14,3,8,0
35,19,11,7,11
17,45,2,8,7
7,20,0,2,3
34,36,5,1,14
1,38,0,0,1
15,45,3,6,6
30,18,10,9,11
31,50,3,18,2
49,50,17,1,6
30,39,6,8,6
14,36,3,4,5
4,10,3,0,1
45,37,21,4,7
43,43,1,13,18
32,18,8,11,4
48,9,2,6,4
21,40,11,4,5
16,18,6,1,3
24,8,2,9,3
32,20,13,5,12
38,10,10,3,2
3,1,0,2,1
39,20,0,5,6
26,45,7,3,4
15,49,5,1,7
3,43,1,0,1
32,50,2,11,8
15,30,12,0,0
50,47,27,2,8
31,15,0,28,1
2,30,1,1,0
9,7,0,9,0
13,43,6,4,1
30,25,6,2,7
6,9,3,1,2
39,18,6,11,15
37,25,24,2,10
8,17,3,0,1
23,34,7,8,0
31,28,1,9,14
40,9,11,4,8
8,15,4,0,3
46,3,6,16,6
35,50,0,18,16
16,24,8,0,7
46,20,4,11,1
19,23,7,2,6
32,41,25,1,5
39,41,17,7,10
47,43,31,0,7
46,14,3,3,10
40,39,32,7,1
2,13,0,0,0
7,39,0,0,0
36,1,3,12,1
6,27,5,1,0
40,38,9,6,13
2,19,2,0,0
50,20,11,6,23
30,19,1,4,7
4,34,1,3,0
24,5,1,9,7
41,12,9,10,19
19,38,0,1,16
36,25,2,19,12
36,14,12,4,3
5,3,0,2,3
44,6,13,16,2
6,25,0,4,2
4,30,2,0,0
49,34,22,15,0
46,19,25,5,5
22,16,0,12,9
24,40,4,6,10
16,25,0,10,1
5,29,1,1,2
13,48,8,3,1
35,45,6,8,16
7,3,1,0,4
13,46,3,4,4
29,10,24,0,5
9,48,5,0,2
44,4,9,13,2
11,5,10,0,0
19,45,5,10,1
8,46,0,2,6
30,23,11,7,10
7,49,2,3,2
17,14,0,11,0
49,37,1,10,20
27,12,6,6,7
38,9,13,3,20
39,10,10,3,22
8,7,0,0,2
8,27,0,1,3
24,33,8,10,1
9,39,1,2,2
46,15,32,0,7
7,10,0,0,7
15,15,1,11,0
44,17,2,0,30
10,30,0,8,0
44,40,5,21,4
50,28,31,12,1
37,41,5,3,3
43,49,25,5,11
43,3,3,0,27
24,18,11,6,3
8,5,0,0,2
20,12,6,1,0
25,49,0,5,13
14,49,3,9,2
50,36,19,2,24
32,32,3,11,16
49,10,17,4,27
41,11,10,11,10
4,48,0,3,0
37,26,8,24,1
34,4,18,3,5
28,31,1,14,10
26,17,3,3,2
35,29,2,19,13
14,15,5,0,8
37,5,11,8,1
48,13,5,14,12
27,3,2,8,0
24,38,1,2,3
15,49,2,0,5
38,21,7,18,2
17,39,6,5,4
25,49,9,7,4
19,6,7,0,3
9,4,2,0,7
22,9,8,0,0
1,38,0,1,0
43,22,0,14,28
49,34,7,3,15
4,43,0,2,2
40,19,9,5,7
15,26,7,1,3
10,30,4,1,3
38,16,3,9,0
50,36,19,11,16
50,1,6,8,24
13,30,1,0,0
27,28,2,12,13
21,28,1,10,8
50,4,25,2,18
38,45,15,12,3
29,2,6,4,14
45,18,24,9,6
19,23,6,8,0
25,28,2,7,2
3,24,2,1,0
19,2,11,3,4
10,43,1,3,2
44,31,24,9,2
49,6,1,11,13
21,39,12,4,1
3,10,0,0,0
40,34,6,20,8
4,22,0,1,1
12,6,8,3,0
49,38,30,7,11
47,50,5,0,19
15,22,8,3,1
41,26,0,22,3
10,1,7,1,1
47,47,28,0,5
10,4,0,5,2
14,50,0,4,4
37,28,11,0,11
49,25,13,3,19
6,20,2,2,2
35,41,10,4,16
16,42,1,2,8
4,3,1,1,2
5,41,0,1,1
36,12,16,3,13
23,20,0,2,8
46,45,16,2,5
43,20,6,19,13
2,12,0,1,1
18,44,16,1,1
12,10,3,1,5
18,46,0,11,4
21,3,6,2,1
46,22,10,24,4
23,42,3,12,6
1,49,0,0,0
50,14,27,16,0
40,44,0,3,11
8,2,3,0,2
12,20,2,5,4
24,30,8,10,2
11,1,0,5,6
24,37,6,4,1
9,41,0,2,4
26,9,2,2,17
36,23,8,1,15
29,26,6,2,13
40,26,15,5,14
8,37,5,1,0
23,13,7,11,1
31,17,11,7,0
18,16,0,13,4
19,24,8,1,6
41,24,5,16,14
41,9,19,3,16
14,4,6,0,3
9,10,0,8,1
19,44,7,8,3
42,35,5,10,5
10,34,10,0,0
47,24,1,23,19
11,11,2,2,6
8,50,3,3,2
22,49,8,0,8
25,4,7,8,8
47,19,13,14,18
3,12,0,0,0
40,49,7,21,3
4,24,0,3,0
41,2,6,3,22
37,27,0,6,2
23,33,0,1,20
7,39,1,0,6
2,19,1,0,0
35,31,3,24,5
36,1,26,0,10
23,47,2,15,3
28,4,3,1,15
48,6,3,29,2
14,6,0,10,2
46,45,15,22,0
25,17,3,4,18
38,7,17,9,3
26,13,17,1,4
10,2,3,0,2
24,48,1,4,17
22,45,1,7,4
39,5,2,1,16
4,45,0,1,2
46,44,11,1,1
28,8,9,7,5
8,2,4,1,1
14,12,3,2,4
19,18,7,3,7
34,28,4,7,0
25,29,2,9,11
43,24,7,0,32
21,40,8,7,5
5,4,0,2,3
32,46,7,0,10
24,11,10,0,6
16,10,9,0,2
29,39,17,7,3
28,30,2,5,16
7,5,3,1,1
5,25,1,3,1
45,48,3,3,33
11,42,2,6,2
47,10,24,12,6
29,29,2,21,5
5,11,5,0,0
48,50,23,7,11
28,32,0,11,9
35,10,9,8,2
7,27,0,3,0
34,13,6,2,5
7,25,2,0,2
43,41,5,8,6
4,1,2,0,0
36,44,4,8,21
50,17,11,6,14
50,35,36,0,1
9,32,0,2,4
39,48,10,9,19
9,14,3,1,5
37,25,4,9,0
41,5,0,17,6
15,10,2,2,4
49,44,6,24,1
3,2,1,0,1
15,10,1,2,12
36,30,8,12,0
50,36,3,13,24
31,6,6,8,0
34,44,5,8,14
35,45,1,8,18
10,43,0,2,3
8,22,1,0,2
34,19,1,15,4
40,27,13,21,2
18,42,2,4,5
44,47,10,2,28
21,45,0,4,3
16,29,9,1,1
39,35,2,19,2
15,21,8,0,6
31,18,9,1,14
41,23,11,10,17
41,47,5,14,9
40,1,5,4,4
18,28,6,3,6
30,44,3,11,16
15,28,0,1,10
14,32,2,7,0
43,27,4,0,18
19,2,0,1,8
47,11,3,20,15
40,23,0,16,22
23,13,9,8,6
28,1,5,1,8
41,33,1,2,35
23,49,6,2,1
22,33,7,1,5
28,39,1,13,12
41,34,8,26,3
3,41,1,2,0
25,14,12,7,5
25,49,5,17,3
36,45,0,7,0
30,50,6,8,15
9,4,3,0,6
27,43,21,0,2
15,12,3,7,4
21,31,6,2,9
41,41,8,15,0
22,15,3,14,5
31,15,9,7,0
41,24,12,2,1
50,18,31,7,7
49,13,0,1,8
16,18,7,1,7
38,39,10,6,10
11,6,6,2,3
12,42,0,4,3
39,13,9,4,2
49,46,11,16,11
22,26,13,3,0
4,21,2,1,1
32,48,19,7,6
23,15,8,0,9
27,42,4,1,19
13,33,2,1,2
33,33,15,12,6
16,49,4,9,1
6,6,2,3,1
6,50,4,0,0
4,50,0,2,2
40,6,33,6,1
42,42,24,6,8
14,17,6,3,0
10,17,0,4,4
19,3,0,0,13
18,8,2,11,4
6,25,0,2,4
39,29,10,21,3
28,48,10,1,17
23,19,13,3,4
34,44,10,1,8
8,13,1,0,7
34,11,3,17,9
24,48,2,3,18
38,19,15,6,13
10,38,8,1,1
37,22,17,2,16
9,43,1,5,1
12,36,7,0,1
23,10,8,15,0
18,43,3,3,5
27,20,13,4,7
43,6,4,15,4
18,18,4,10,3
47,44,28,0,13
33,25,5,16,9
9,22,1,4,1
35,26,14,0,6
39,46,10,2,8
6,40,3,0,1
33,13,20,5,0
13,27,4,1,2
46,46,0,17,5
49,18,11,24,14
40,15,5,20,7
18,16,0,6,8
47,45,24,2,9
11,35,3,5,3
2,18,1,1,0
23,27,1,3,8
23,17,5,6,6
20,4,13,3,1
12,23,9,0,1
13,9,4,1,0
29,48,9,1,12
21,49,1,19,1
17,9,1,6,8
46,27,20,9,10
8,40,1,0,7
4,10,3,1,0
8,43,1,0,3
47,31,5,20,12
19,36,2,7,7
50,7,4,2,31
10,14,4,1,1
11,3,4,2,3
38,25,18,5,10
25,47,0,24,0
3,41,0,2,0
39,1,28,0,5
10,33,1,5,1
27,6,3,12,4
33,44,6,4,8
39,24,2,12,25
50,17,5,6,24
7,10,0,0,7
38,20,10,5,13
27,41,6,19,2
45,1,23,12,8
44,38,5,31,1
50,25,14,3,17
7,43,2,0,3
30,24,18,8,4
23,14,5,3,9
8,14,4,1,3
41,15,12,7,2
4,28,1,0,0
35,16,3,4,21
50,11,29,1,17
2,41,1,0,0
45,40,19,15,1
29,23,0,2,23
1,3,0,0,1
8,23,1,2,1
30,3,1,18,10
12,19,5,0,3
40,40,0,37,0
13,46,2,0,10
31,46,10,17,4
15,42,1,7,5
14,35,0,5,0
18,3,1,10,7
20,13,13,0,2
34,41,10,6,13
29,14,8,4,3
39,6,8,0,4
6,35,1,0,4
10,28,0,7,3
13,10,0,4,4
41,25,4,3,5
19,23,6,3,5
49,6,4,19,2
37,34,1,32,2
47,1,12,34,1
30,20,0,1,2
36,26,24,3,2
48,45,3,16,24
37,46,1,17,14
41,29,11,17,13
26,16,4,5,13
23,6,18,2,0
34,35,1,3,28
40,7,4,33,2
4,38,3,0,1
9,16,2,0,0
14,41,8,5,1
14,48,4,0,6
43,28,24,6,0
36,7,17,4,6
43,9,12,2,26
46,12,4,8,8
6,28,4,1,1
29,19,11,2,4
12,3,0,2,7
41,17,12,7,7
44,16,9,15,7
2,32,2,0,0
25,5,7,0,7
34,11,22,9,0
11,19,5,0,3
16,11,2,0,6
23,39,14,1,1
38,31,10,6,7
49,49,5,7,23
24,10,5,9,5
5,4,4,0,0
10,6,1,5,3
4,38,2,1,0
48,45,12,11,0
1,43,0,0,0
21,50,0,1,13
20,37,10,4,0
27,38,13,1,10
14,37,2,6,1
24,2,10,10,2
14,46,0,4,3
46,43,17,4,19
32,2,10,3,7
7,25,3,3,1
13,12,1,4,4
17,8,8,4,0
10,26,3,1,5
35,28,0,13,6
4,47,3,0,0
5,46,0,4,1
50,4,18,3,13
19,36,5,6,5
41,22,13,7,15
24,15,1,14,8
14,40,11,1,0
29,37,10,6,6
49,43,2,42,2
48,33,28,18,1
11,1,2,0,9
9,14,2,3,0
46,16,6,28,0
9,30,5,0,0
8,48,0,0,1
3,10,0,0,1
46,29,5,6,32
31,37,9,5,16
39,49,3,3,25
9,26,3,1,5
3,1,2,1,0
16,17,0,7,9
32,29,2,0,1
38,46,22,13,0
31,42,1,2,11
28,50,0,11,13
22,17,1,5,7
38,17,16,12,8
12,5,4,4,1
27,47,2,20,5
14,50,6,3,3
19,43,3,13,1
35,46,9,4,15
46,44,0,19,3
28,12,6,11,11
32,45,2,7,8
10,23,2,1,0
13,23,1,2,7
29,2,4,0,20
13,26,0,2,2
10,20,1,0,3
8,28,6,0,0
31,28,1,5,19
7,31,2,3,1
24,9,5,0,16
23,1,10,6,2
37,37,4,3,8
25,25,11,1,8
4,12,0,4,0
3,35,1,0,1
5,32,1,3,0
22,32,1,11,4
12,12,1,2,5
40,38,2,9,15
44,24,13,0,20
6,36,3,0,1
41,2,6,11,20
20,29,0,5,13
50,30,22,3,0
30,15,3,9,3
45,35,4,25,10
40,4,3,37,0
50,33,37,11,0
28,14,0,17,3
41,32,20,2,10
18,45,7,2,4
44,35,18,5,17
9,34,0,2,4
2,7,1,0,0
18,25,7,1,2
44,14,32,0,7
11,14,2,2,3
30,45,1,9,12
6,13,4,0,0
22,5,5,5,2
23,11,5,4,7
5,16,3,2,0
8,47,3,0,5
12,45,7,3,0
24,18,0,5,6
45,35,1,34,0
34,19,10,0,18
20,32,3,5,10
7,13,0,5,2
47,2,14,8,6
18,23,8,8,0
25,24,1,8,14
15,36,0,6,1
19,17,8,0,7
7,10,1,0,0
29,44,5,0,0
7,48,5,0,2
17,7,1,10,6
8,31,5,0,3
46,41,28,15,0
45,43,2,3,32
34,44,5,12,13
7,45,1,2,0
32,37,9,15,8
13,27,3,1,1
7,9,1,0,0
29,36,6,7,4
5,43,0,0,4
4,40,0,1,2
45,6,1,26,12
34,12,7,11,10
18,32,5,0,8
4,16,1,0,0
14,5,0,13,0
35,32,8,0,13
46,27,5,20,3
11,44,2,5,1
15,32,7,0,4
43,30,6,27,0
19,43,5,4,9
15,7,4,1,1
32,44,0,7,11
10,19,8,1,0
14,18,0,2,5
7,2,2,0,1
38,29,16,6,14
25,12,8,2,8
27,46,15,2,8
26,48,2,8,14
34,38,7,9,4
45,49,12,1,2
29,43,4,7,5
22,17,7,5,3
10,49,3,4,1
15,20,0,8,7
32,45,6,15,9
46,22,24,1,21
11,22,3,0,1
19,27,1,1,6
25,3,2,21,2
30,10,8,8,1
19,48,4,13,2
24,8,0,3,13
30,41,5,13,8
3,32,0,0,2
49,23,22,14,6
17,49,5,2,8
14,32,1,9,4
27,50,14,4,2
30,7,12,0,10
24,39,4,9,2
41,41,26,7,1
26,25,1,13,3
8,33,0,6,0
11,44,6,1,3
43,30,20,9,13
5,35,1,3,1
40,9,8,5,21
24,26,0,4,3
46,1,10,30,5
12,17,2,2,1
7,48,0,1,2
11,3,4,2,2
7,29,0,2,1
27,31,7,0,6
6,13,0,0,4
35,29,9,15,6
30,46,14,1,12
24,24,2,14,4
49,22,40,8,0
43,28,16,5,14
37,46,30,4,1
12,37,1,6,5
9,10,2,7,0
46,50,15,21,8
41,26,2,26,8
44,12,0,15,9
37,39,7,4,3
1,3,1,0,0
48,22,12,21,12
13,37,1,9,3
30,30,5,8,8
20,31,4,8,7
19,41,2,5,11
13,38,4,4,1
6,19,1,2,0
41,16,2,5,19
33,3,9,2,11
15,17,5,0,5
5,7,3,1,1
13,46,4,4,0
43,16,17,4,2
39,32,2,27,1
39,32,6,8,4
19,35,2,10,0
13,33,12,1,0
33,26,0,5,7
41,31,12,21,7
21,36,4,11,3
1,23,1,0,0
20,50,14,1,2
23,45,0,16,3
16,3,11,0,5
12,43,2,1,1
10,14,6,0,3
45,11,1,14,2
37,46,25,1,8
45,47,21,0,16
28,5,1,14,11
37,42,10,3,10
18,15,1,3,11
6,2,1,1,3
41,11,19,18,0
43,38,17,5,18
16,2,0,6,4
10,17,0,1,0
12,23,1,2,7
22,1,10,1,10
45,12,0,13,4
5,5,1,2,2
6,14,3,2,0
7,10,6,0,0
12,45,1,1,3
33,38,5,0,11
4,8,0,0,0
17,29,3,9,5
32,19,7,1,0
16,44,1,9,0
15,23,6,3,4
30,5,20,6,3
16,46,3,0,7
13,49,1,3,7
17,14,3,8,6
10,14,6,1,2
5,14,0,2,0
38,5,0,17,11
20,1,3,3,8
50,30,2,17,17
10,46,0,6,4
37,13,0,12,17
47,1,32,3,2
27,32,0,3,22
33,34,1,13,1
31,2,16,10,3
27,39,3,12,5
49,28,25,5,13
4,49,1,1,0
5,9,0,4,1
40,48,5,18,16
31,36,12,11,1
25,28,16,3,6
12,24,3,1,6
17,2,7,2,3
44,10,4,16,17
30,36,0,13,5
9,15,0,0,1
48,11,3,22,11
42,47,19,19,3
43,44,22,10,5
28,12,3,24,1
48,41,3,18,16
35,25,1,20,13
32,34,8,0,1
3,4,3,0,0
49,42,23,9,0
6,6,4,0,2
14,18,11,1,2
11,32,1,4,4
36,46,21,0,9
8,37,2,4,2
25,45,0,8,9
3,48,2,0,1
24,6,7,11,1
14,5,10,3,0
17,7,3,2,7
46,33,0,25,11
15,36,9,3,2
50,40,7,27,4
20,23,0,0,1
11,20,1,0,8
44,36,14,6,12
28,21,6,3,1
32,50,7,14,4
9,44,3,4,2
45,28,12,4,27
48,5,14,13,0
33,49,3,6,4
1,17,0,0,1
29,33,14,9,4
39,43,30,2,6
40,20,4,6,6
37,34,0,29,3
22,20,14,1,3
23,23,0,14,1
35,1,8,16,2
49,28,31,8,1
48,36,10,23,11
48,17,4,8,15
31,24,12,17,2
18,37,10,3,0
27,39,9,10,4
33,50,2,15,6
2,6,1,1,0
23,27,15,2,3
49,35,16,11,20
46,30,7,1,36
3,44,1,0,0
30,15,0,10,16
26,27,12,1,6
28,1,10,9,9
48,16,10,7,26
39,50,0,2,2
19,47,5,7,3
7,48,0,6,1
34,33,7,1,1
17,4,1,1,12
21,20,8,2,4
7,27,3,4,0
23,42,4,7,6
11,27,0,3,1
6,36,3,0,3
2,48,1,0,1
25,27,12,5,2
43,4,1,11,22
47,44,1,15,23
23,18,8,12,0
36,45,19,4,0
40,27,26,12,0
36,13,9,15,12
42,15,5,11,7
38,36,4,13,2
48,30,7,14,8
27,40,13,8,6
23,25,0,11,2
35,7,4,10,3
10,40,4,6,0
44,3,8,24,11
9,37,3,0,3
21,16,8,8,3
27,39,4,4,0
15,35,11,2,0
4,30,4,0,0
3,30,1,0,1
24,40,19,1,0
36,47,0,9,17
12,5,1,0,5
20,50,5,7,7
6,8,2,3,0
42,21,19,6,15
34,47,24,4,1
16,47,11,3,1
3,32,0,2,0
33,27,10,1,20
41,35,3,16,13
41,28,1,5,5
19,8,6,1,2
44,5,30,3,5
27,9,6,19,2
11,18,0,3,5
31,29,12,9,2
50,31,5,2,42
44,33,5,16,0
9,25,2,4,3
27,42,9,7,8
29,4,4,16,6
40,22,6,8,12
5,46,0,0,0
12,4,4,2,6
9,25,2,5,2
36,50,19,9,0
22,41,7,7,2
3,50,0,1,2
16,5,1,7,5
27,46,0,7,3
7,14,5,1,1
37,31,15,9,12
22,23,7,0,5
13,17,2,2,0
34,38,10,0,24
34,2,1,9,9
13,46,1,8,2
15,12,6,2,7
6,12,0,0,6
10,34,4,3,1
48,36,1,16,2
8,11,1,3,3
33,28,14,6,8
38,2,6,16,8
23,3,6,1,2
11,19,5,0,0
14,27,8,1,1
17,31,2,1,8
46,44,7,6,22
21,14,5,5,11
35,45,16,14,1
9,16,2,2,5
29,16,3,6,0
21,16,3,6,10
25,47,12,2,0
1,44,0,0,0
10,32,1,0,4
21,30,2,7,9
7,9,1,6,0
1,21,0,0,1
14,2,0,4,8
35,32,9,18,5
8,20,4,3,1
2,31,0,0,2
40,10,12,5,14
16,25,2,8,1
22,4,6,6,3
7,38,1,0,6
9,10,0,1,2
39,44,6,0,9
15,42,9,0,3
44,13,7,9,6
1,29,0,0,0
27,12,13,13,1
12,21,0,4,4
46,39,0,22,4
13,30,0,12,0
15,40,5,0,0
25,40,10,3,7
31,22,16,7,1
42,42,4,5,16
46,37,6,1,0
49,48,23,5,9
41,9,13,2,21
32,5,3,5,9
43,23,12,7,2
15,9,5,1,5
9,47,7,1,0
35,20,19,10,5
11,29,2,7,2
2,7,0,0,0
29,30,6,2,16
4,47,3,0,1
29,10,5,14,4
32,28,5,2,21
27,6,6,7,5
39,44,22,5,5
29,21,1,4,6
18,43,14,1,0
49,26,3,14,9
25,13,16,2,2
36,34,0,24,0
49,11,26,18,4
31,37,11,0,20
18,36,8,9,1
7,37,0,5,0
16,14,2,1,5
22,15,9,1,7
41,5,2,14,11
41,2,15,9,11
39,34,14,3,3
24,14,3,2,1
42,28,0,8,6
19,34,5,4,2
4,35,1,2,1
29,49,1,10,11
48,9,19,10,1
8,22,2,5,1
7,12,0,0,0
21,49,2,12,6
16,47,0,3,13
17,15,7,5,3
35,33,0,0,22
36,34,25,4,2
35,36,22,0,1
33,7,11,1,19
34,40,20,5,0
1,10,0,0,0
32,17,4,8,16
36,19,7,1,19
47,34,8,2,20
35,12,5,18,6
11,45,3,1,3
