N,D,m,a,e
13,11,1,6,2
15,10,6,1,8
22,26,3,0,8
19,48,0,10,4
50,33,24,8,18
3,34,0,2,1
47,35,0,25,0
13,47,1,3,3
39,37,14,13,1
7,35,4,2,1
21,27,2,4,13
10,45,2,0,3
41,27,2,10,3
29,25,2,12,10
19,36,0,9,6
3,15,0,0,0
18,9,4,1,1
44,44,11,10,19
5,50,1,0,0
3,34,0,2,0
32,12,0,25,6
11,39,0,10,0
34,44,3,0,10
44,14,2,16,4
15,35,0,3,6
24,48,1,4,16
43,26,21,3,6
18,15,0,13,5
41,34,4,10,23
44,10,22,11,9
31,50,20,1,3
1,25,0,0,0
14,49,5,0,9
11,2,2,0,7
29,28,9,2,13
9,42,1,2,2
3,24,2,1,0
35,11,8,21,0
29,13,2,3,13
11,28,7,2,0
7,39,0,0,6
37,35,3,32,1
44,25,10,9,13
18,7,4,3,0
35,48,14,16,2
41,25,4,0,32
18,27,5,1,0
8,5,0,0,6
27,1,4,10,1
42,10,5,14,6
37,33,18,3,15
44,46,0,6,4
14,3,7,5,1
4,10,3,0,0
7,24,0,6,1
31,6,5,4,16
23,12,5,10,2
10,4,7,1,2
1,11,0,1,0
26,50,12,3,4
47,42,19,6,5
35,27,8,9,5
5,29,2,2,1
26,18,11,10,2
41,15,2,20,15
44,40,7,8,23
25,33,1,16,8
6,46,4,1,0
16,39,0,13,1
33,43,7,3,16
31,6,20,1,10
18,1,6,11,1
29,31,18,2,5
2,13,0,0,2
32,43,21,5,5
31,25,14,1,7
50,14,11,35,3
30,19,1,1,26
28,10,20,1,5
12,10,1,1,6
2,21,0,1,0
18,10,11,2,2
9,40,0,4,4
33,42,0,23,4
26,5,5,2,12
49,3,21,13,10
14,30,4,2,8
20,9,2,5,9
14,11,6,5,0
3,46,1,0,0
27,7,3,18,5
4,43,1,3,0
11,23,0,0,3
24,5,10,0,4
5,29,2,0,1
14,11,1,2,6
35,42,21,0,4
50,14,22,27,0
6,31,1,1,4
28,24,0,19,4
8,43,0,3,5
23,11,0,11,4
47,32,11,7,18
5,15,0,1,4
32,21,10,1,12
25,38,2,5,13
39,46,9,0,17
35,7,8,8,12
34,28,4,9,3
49,14,1,1,45
41,14,11,12,17
1,29,1,0,0
47,31,21,6,7
31,5,10,13,8
33,15,0,1,7
24,35,5,12,1
2,47,0,0,2
35,20,5,3,8
13,9,0,8,0
48,31,10,2,3
6,6,0,2,3
7,46,5,0,1
42,30,22,9,9
6,24,0,2,4
11,5,3,0,2
28,43,20,4,3
33,50,23,0,10
24,39,19,1,1
4,17,0,2,1
38,36,6,20,10
21,23,1,4,14
28,13,1,9,14
14,14,2,1,6
3,17,2,0,1
12,22,3,5,0
31,44,20,2,6
7,49,0,0,4
33,9,10,1,7
50,13,1,9,18
44,22,1,6,14
34,23,5,5,21
22,42,4,0,7
38,25,0,26,0
46,13,10,0,23
22,31,2,14,0
46,3,12,12,4
8,41,0,7,0
41,14,10,2,18
32,45,3,13,7
29,2,10,4,7
24,28,5,3,4
36,39,13,0,7
17,17,10,2,4
28,11,1,8,0
18,18,3,3,7
16,45,8,6,2
16,41,5,6,1
44,37,14,25,0
36,49,2,20,1
13,20,0,7,0
37,46,0,8,21
44,31,2,11,6
14,29,1,3,7
45,14,3,9,16
32,36,6,5,11
25,1,10,0,14
49,20,28,6,3
20,30,9,10,1
27,29,6,12,8
45,24,8,24,10
20,39,7,1,11
43,46,20,2,21
31,30,6,8,13
24,12,5,1,18
28,32,4,0,6
8,1,6,0,1
9,13,1,0,2
20,24,0,7,12
42,24,4,12,4
17,3,3,5,7
34,24,24,6,4
4,10,0,1,2
48,8,2,3,36
18,19,0,8,2
48,33,32,0,6
1,6,0,1,0
7,39,1,2,4
15,21,5,4,4
28,42,8,4,14
13,4,5,0,5
28,25,10,17,1
1,40,0,0,1
4,49,2,1,1
13,7,7,5,1
3,50,2,0,1
50,21,41,5,2
40,33,7,0,11
13,22,1,4,7
25,31,1,10,7
16,12,3,1,11
1,27,1,0,0
5,46,0,2,0
39,19,0,5,20
44,16,24,2,18
28,24,0,18,3
18,8,0,3,4
49,46,2,14,15
14,34,7,2,2
26,21,8,6,5
9,21,0,0,0
42,38,2,9,31
47,11,22,16,8
12,18,3,3,2
15,32,0,6,4
30,27,0,16,1
36,10,1,3,3
43,20,0,28,2
3,31,2,1,0
45,18,6,10,0
34,39,16,1,11
6,26,0,3,2
8,14,4,0,2
38,13,7,5,9
40,17,3,20,7
47,19,25,5,3
22,11,3,2,1
13,12,5,1,6
21,31,5,2,9
48,9,23,3,2
7,18,4,1,1
33,30,8,1,21
14,37,4,1,9
5,21,0,3,2
43,18,8,6,11
1,3,1,0,0
43,20,13,18,2
22,10,0,12,7
4,13,1,1,0
36,38,1,16,18
44,1,9,7,15
17,38,3,5,1
3,16,2,0,0
36,2,1,24,9
16,24,0,3,13
33,2,18,8,2
13,20,2,2,8
17,40,8,0,2
21,41,0,4,15
29,35,1,21,1
41,37,4,5,3
25,49,2,10,2
22,12,6,7,3
20,7,2,9,1
31,31,1,0,10
18,27,9,0,8
27,22,9,4,1
35,50,14,1,8
45,49,4,38,1
19,48,12,1,6
39,36,6,11,16
30,36,15,8,3
33,8,3,12,14
23,40,3,11,5
26,30,7,11,0
23,48,6,5,2
22,11,13,5,2
47,50,5,6,31
39,45,6,19,7
18,49,7,5,4
29,24,9,5,12
16,20,7,2,7
35,13,6,15,4
45,10,6,9,28
42,42,9,2,30
26,1,7,5,14
34,24,9,17,6
42,19,8,4,7
29,2,0,5,24
16,46,4,6,0
16,43,12,1,3
7,19,1,2,2
35,15,1,1,2
15,14,1,9,0
28,33,11,0,16
49,2,4,36,9
18,38,5,1,10
33,1,0,4,9
45,23,3,5,35
8,13,3,3,0
37,19,11,18,4
49,6,9,6,34
9,25,0,7,0
41,7,4,1,31
20,43,0,0,15
5,49,0,4,0
29,15,0,7,9
2,19,0,0,2
18,21,3,10,3
20,4,1,5,4
12,18,3,1,6
2,16,2,0,0
32,48,12,2,3
31,15,21,1,9
10,49,1,2,0
41,29,19,5,12
12,35,5,4,3
22,20,5,2,12
26,49,15,6,5
30,30,7,13,7
23,8,10,0,13
47,15,1,11,12
12,28,1,0,0
12,1,3,0,1
45,27,5,23,2
43,5,14,23,6
28,14,0,2,19
33,39,8,14,3
19,27,1,2,5
15,3,0,7,7
36,5,4,13,11
7,46,3,1,3
48,3,18,4,21
3,23,0,2,0
6,33,3,0,0
23,22,2,17,3
50,1,8,16,3
47,45,8,5,7
34,20,7,24,2
20,49,0,0,5
50,19,8,8,1
39,15,1,8,18
26,28,0,1,22
40,36,4,30,5
31,28,6,1,2
41,25,3,30,2
41,22,23,14,2
9,23,0,4,3
38,23,4,18,12
3,1,0,0,2
17,34,12,0,3
38,25,16,2,13
27,30,17,4,6
13,4,7,1,0
15,28,4,0,3
49,46,36,6,4
24,31,11,2,7
14,18,2,7,1
18,21,1,0,10
32,7,24,2,0
29,32,2,6,3
26,37,8,17,1
44,24,12,8,3
35,7,1,3,16
23,1,13,3,4
5,29,1,1,0
1,21,0,1,0
25,13,5,10,5
2,17,0,0,1
32,48,13,5,9
33,31,8,6,6
9,35,2,6,1
19,50,4,3,7
41,40,15,16,9
2,22,1,0,1
24,3,19,2,3
32,18,12,11,2
43,37,8,8,9
27,43,17,1,6
25,36,5,6,11
1,31,0,1,0
30,11,16,8,2
8,38,0,2,6
27,48,4,5,13
10,46,7,2,0
20,6,12,3,5
39,35,11,1,23
25,17,1,24,0
43,24,1,19,15
34,45,2,1,20
49,22,11,17,15
9,7,3,0,6
21,23,7,7,6
29,3,7,4,8
26,37,7,11,1
25,28,16,2,2
40,10,36,0,4
29,9,1,0,1
15,15,7,1,0
27,42,1,7,13
3,9,2,0,1
34,23,6,9,1
31,8,1,0,9
3,44,1,0,1
10,34,1,0,5
45,3,3,10,15
29,32,13,13,0
37,40,14,7,15
22,22,7,4,10
1,2,1,0,0
14,8,4,0,2
24,35,4,2,5
17,49,5,6,3
28,9,7,8,0
7,20,2,0,1
16,13,0,2,5
17,17,8,5,1
6,2,1,1,1
28,23,2,2,8
13,35,6,3,4
28,30,1,15,10
7,46,1,6,0
35,39,9,8,18
46,33,21,2,5
44,18,0,4,5
30,13,15,2,1
31,30,11,12,6
15,3,4,6,3
21,37,1,7,6
15,7,0,14,1
21,44,9,7,5
3,20,0,0,2
28,40,1,9,7
9,8,2,5,2
40,9,1,14,3
7,10,4,0,2
23,47,6,5,10
43,1,1,22,12
40,14,16,6,8
16,44,0,12,1
27,35,8,1,11
30,11,2,17,6
39,43,8,8,1
5,37,0,0,0
49,50,0,13,31
45,40,18,20,3
20,35,2,5,12
13,46,5,4,3
4,36,0,0,4
43,45,20,3,6
37,43,2,24,1
33,39,16,10,5
23,17,1,10,7
31,22,9,6,1
1,46,0,1,0
48,6,13,12,2
47,31,13,2,30
24,30,17,1,4
36,8,3,19,0
35,11,2,8,11
5,22,4,0,0
45,5,6,8,27
50,14,21,6,22
9,5,2,0,7
2,26,1,1,0
15,23,5,1,9
20,36,10,0,3
5,4,1,4,0
45,4,1,12,0
9,30,1,4,1
34,6,5,19,1
13,46,4,1,6
37,7,0,26,6
36,30,4,20,7
16,12,0,8,1
49,11,26,9,3
12,9,0,0,11
11,12,2,6,0
16,16,2,1,12
19,49,5,2,9
32,46,30,0,2
28,41,2,12,1
44,32,27,9,6
17,31,0,13,4
10,40,6,0,3
31,39,17,13,1
38,46,2,10,18
18,31,1,6,3
12,34,4,0,4
48,8,11,22,12
26,23,3,8,13
28,31,6,11,9
18,48,2,0,9
13,41,3,0,9
6,13,0,3,2
30,35,4,7,10
30,13,0,1,20
26,25,5,19,0
41,22,0,3,10
44,41,0,5,6
35,7,29,3,3
23,1,2,16,0
24,6,7,0,3
2,10,0,0,1
17,45,4,1,7
47,9,29,0,2
10,26,1,4,3
35,3,7,7,8
11,11,0,7,2
42,44,8,21,7
29,33,12,5,9
22,44,9,7,0
47,6,14,4,29
23,27,1,13,8
42,5,8,12,0
28,39,24,4,0
26,25,5,7,12
21,45,17,1,2
30,39,8,6,5
36,13,6,5,25
40,32,1,13,18
28,33,12,6,3
43,30,29,3,0
36,42,7,5,13
21,3,7,9,4
38,37,0,22,8
22,26,0,5,7
6,42,0,3,1
5,31,3,0,0
11,2,4,3,1
19,5,2,7,10
37,18,5,10,2
34,19,5,1,19
45,11,6,9,1
12,31,1,4,4
1,20,1,0,0
4,46,0,2,1
25,12,8,8,4
6,8,0,0,1
1,21,0,0,1
6,14,0,5,1
45,48,5,7,33
11,18,2,1,3
26,39,13,7,6
9,21,3,0,4
27,43,4,2,4
3,19,0,0,1
11,42,4,0,2
4,2,1,2,0
15,17,6,1,4
36,37,2,25,4
33,12,7,16,4
14,13,7,2,4
11,49,0,5,0
42,29,18,13,0
34,20,9,11,12
22,10,12,4,4
39,32,9,13,14
21,23,8,0,4
1,3,0,0,0
13,44,1,3,2
40,10,8,11,11
35,32,6,5,18
23,1,0,0,6
20,9,4,8,2
48,41,17,13,4
31,1,15,7,2
36,8,1,14,17
37,3,1,22,11
15,30,4,8,1
9,7,2,1,0
4,25,0,0,0
2,3,1,0,1
16,33,6,10,0
44,49,31,7,1
43,8,26,14,1
41,30,7,10,14
45,46,36,3,3
22,22,2,15,5
4,35,0,0,2
26,47,10,9,1
3,19,1,2,0
9,28,6,1,2
46,41,5,14,17
31,43,6,9,1
11,10,4,5,2
35,24,2,14,7
36,3,25,6,3
32,48,11,1,0
9,48,1,8,0
12,30,0,5,6
37,18,0,1,7
40,44,15,21,2
12,32,2,5,3
8,26,1,4,2
11,34,9,1,0
30,16,1,9,2
41,48,21,4,8
41,42,17,12,9
14,29,2,6,2
46,30,6,10,30
8,8,2,0,2
22,40,3,0,19
42,4,3,4,21
6,27,0,5,1
2,9,1,1,0
19,13,12,1,5
15,2,2,4,0
23,31,8,3,4
4,22,2,1,1
50,1,6,17,0
40,40,11,4,2
29,36,9,7,3
41,18,16,11,11
27,28,14,2,0
49,2,14,19,0
2,33,0,1,0
2,46,1,0,0
49,6,33,13,1
39,8,24,6,8
49,49,6,32,9
20,26,5,0,7
11,35,3,5,3
43,19,2,17,12
19,39,4,5,7
21,21,4,3,10
20,29,1,2,10
3,33,0,0,3
48,8,11,29,4
46,15,13,14,2
8,24,3,4,0
50,34,12,3,23
2,35,0,1,1
2,7,0,0,2
28,45,8,13,1
27,35,18,0,3
23,31,1,1,11
4,8,2,0,2
7,34,4,0,0
31,44,2,1,25
28,5,0,9,9
37,10,19,1,14
22,27,13,0,3
35,8,5,0,22
13,28,0,1,12
1,32,0,0,0
37,30,20,6,8
22,2,0,2,5
25,21,1,0,1
31,26,12,1,10
41,31,26,9,2
24,30,15,3,0
35,27,13,11,8
25,4,0,1,18
5,40,1,0,2
36,28,18,2,2
20,4,0,10,5
40,37,28,3,2
17,17,7,3,1
12,10,0,9,1
15,7,6,9,0
25,27,4,1,1
33,40,1,17,2
11,19,1,4,2
13,33,9,0,2
27,47,6,10,6
14,5,1,2,2
18,5,14,0,3
32,30,3,11,18
15,4,1,4,3
11,16,1,0,2
25,26,12,4,3
20,21,2,12,0
35,48,5,5,19
11,17,0,1,4
23,14,2,13,1
22,10,6,4,10
45,49,12,7,8
39,22,4,20,13
15,33,1,4,7
32,25,2,24,4
1,38,0,0,1
35,25,6,22,1
46,23,10,16,14
10,7,1,2,2
43,43,8,2,7
1,24,1,0,0
12,43,3,0,4
2,1,1,0,0
18,34,1,13,0
17,26,8,7,1
43,44,1,14,21
21,48,3,6,2
43,45,4,9,18
15,19,5,2,5
18,10,3,8,5
32,35,7,3,7
9,8,4,0,1
42,48,12,13,0
9,22,1,1,1
40,28,4,19,17
8,43,1,1,1
9,50,1,0,7
33,21,9,1,2
50,16,12,7,11
7,24,1,4,0
10,27,2,6,1
22,40,7,9,2
18,48,18,0,0
30,10,2,9,1
50,48,13,32,0
17,4,2,1,4
3,41,1,2,0
41,42,0,6,17
38,48,14,15,3
1,49,0,0,1
12,18,11,0,1
49,10,17,10,22
3,9,2,1,0
3,47,0,0,2
30,48,5,2,1
35,47,15,8,6
40,17,24,11,5
3,46,0,0,2
13,49,3,4,0
27,16,3,14,3
36,31,5,2,2
47,36,25,9,0
24,14,4,18,2
6,41,3,2,1
44,23,6,3,31
29,14,12,5,9
19,26,3,5,2
39,3,5,12,0
42,45,14,26,0
14,24,4,1,0
36,43,11,14,5
9,42,0,5,0
6,16,0,4,1
9,17,1,0,5
12,8,3,7,2
18,27,1,7,6
33,9,18,0,14
21,33,13,1,5
11,7,7,2,1
37,41,6,22,7
33,45,5,0,0
2,3,0,1,1
44,49,8,27,8
4,44,1,0,0
27,48,6,1,18
50,23,7,5,8
32,26,21,5,6
19,36,1,10,6
2,34,0,0,2
4,41,0,2,1
13,14,4,6,1
27,30,5,2,2
11,38,5,4,1
44,10,10,17,1
17,26,7,2,2
3,34,1,0,0
44,9,8,12,16
45,39,3,27,13
21,29,4,5,3
14,20,0,8,0
11,26,0,10,1
38,4,21,2,13
12,37,0,3,4
39,49,18,17,4
20,42,9,1,0
11,28,7,1,3
30,7,3,18,2
37,30,22,2,4
32,5,4,3,3
6,43,3,0,3
16,33,3,0,4
43,46,31,3,9
44,46,13,3,14
10,5,1,2,2
10,34,2,0,5
46,38,14,5,21
18,37,2,9,3
12,32,2,6,1
13,20,4,5,4
11,8,1,2,7
30,36,3,3,22
28,23,11,1,2
47,12,0,31,1
7,22,2,0,5
28,24,4,1,18
8,21,0,3,4
29,6,7,19,2
4,27,0,4,0
23,8,8,3,0
14,47,7,1,1
12,25,5,1,0
10,5,0,9,0
35,11,19,12,4
25,19,18,4,1
33,43,10,1,18
38,10,15,3,18
18,47,10,4,4
24,5,14,0,7
13,23,1,5,0
14,43,7,1,1
16,44,5,1,1
48,34,19,18,11
40,11,26,2,12
46,31,1,13,28
39,25,8,2,28
24,50,4,5,11
38,35,1,15,18
19,4,3,2,8
4,13,0,1,3
31,7,12,9,4
12,4,3,0,9
27,14,5,18,1
43,28,11,11,7
3,46,0,0,2
6,2,0,4,1
11,48,2,0,9
28,40,3,16,5
49,9,8,25,3
38,25,18,1,1
1,18,1,0,0
8,40,5,1,1
13,39,3,0,10
9,21,7,0,0
15,6,3,9,0
8,8,1,3,0
13,33,0,11,1
34,6,18,3,3
34,4,7,13,7
43,13,0,0,2
7,3,0,1,3
40,4,5,2,18
47,39,2,34,10
23,49,8,6,3
49,27,11,6,10
43,5,3,5,34
38,49,29,0,5
17,44,1,11,0
41,17,15,20,5
40,44,4,21,0
39,39,4,12,21
38,1,5,21,10
12,20,4,7,0
13,19,0,2,6
22,5,5,1,8
18,28,0,4,9
30,21,9,17,4
15,39,8,4,2
33,31,5,15,12
42,3,38,0,4
39,14,15,0,21
45,16,13,18,14
27,25,15,1,1
37,39,1,26,7
11,42,7,0,4
49,44,7,3,26
49,19,9,23,13
12,8,5,4,2
11,49,4,5,0
5,34,0,0,4
16,40,2,6,1
17,10,14,0,3
38,4,9,23,4
35,21,16,8,7
42,2,12,2,5
9,17,1,2,3
18,45,7,6,3
6,13,1,3,0
36,5,3,23,3
5,36,0,1,1
6,49,2,1,2
41,25,2,19,3
1,18,0,0,0
49,10,0,4,17
42,5,11,14,7
1,21,0,0,1
17,12,1,1,0
26,21,5,13,7
13,29,4,0,1
27,47,6,7,1
2,49,1,0,0
25,28,14,9,2
27,17,8,8,1
9,30,5,1,3
3,25,0,1,2
25,29,0,1,7
7,1,0,0,2
22,36,2,4,16
18,30,1,0,13
18,2,8,2,4
31,42,17,6,2
5,3,2,0,1
10,25,0,7,3
32,33,2,1,11
46,14,7,14,8
32,7,24,2,4
41,8,1,28,11
45,37,4,13,3
5,43,5,0,0
31,46,9,3,4
25,15,3,6,0
11,33,3,1,3
29,12,1,18,10
22,34,4,10,3
48,34,32,0,3
19,22,0,4,11
12,27,3,3,2
12,44,2,4,3
49,29,0,33,12
3,18,2,1,0
43,45,0,15,22
11,6,3,6,0
41,14,0,9,29
